rank|name|revenue|industry|employees|founded|growth|city|state
3912|Lizzy Lift|13.7|Construction|17.0|1998.0|74|Elmhurst|IL
3913|Avenue Two Travel|21.8|Travel & Hospitality|50.0|1987.0|74|Villanova|PA
3914|Go-Forth Pest Control|4.2|Consumer Products & Services|48.0|1959.0|74|High Point|NC
3915|ChiroHealthUSA|4.8|Health|14.0|2008.0|74|Flowood|MS
3916|Proforma ASAP|19.3|Business Products & Services|13.0|2002.0|74|Westlake|OH
3917|Modern Flames|3.6|Consumer Products & Services|15.0|2009.0|74|Phoenix|AZ
3918|Pragmatic Marketing|21.2|Business Products & Services|41.0|1993.0|74|Scottsdale|AZ
3919|SANDLAPPER Securities|10.4|Financial Services|59.0|2005.0|73|Greenville|SC
3920|TEKConn Services|3.7|IT Services|23.0|2004.0|73|New York City|NY
3921|Roof Commander|4.2|Construction|59.0|2011.0|73|Clermont|FL
3922|ProFloors|24.4|Construction|32.0|2002.0|73|Atlanta|GA
3923|Transportation Impact|12.3|Logistics & Transportation||2008.0|73|Emerald Isle|NC
3924|iVenture Solutions|14.4|IT Services|87.0|2000.0|73|Jacksonville|FL
3925|Echo Health|81.3|Health|53.0|1999.0|73|WESTLAKE|OH
3926|Pedigree Technologies|10.0|Software|62.0|2004.0|73|Fargo|ND
3927|Cruise Planners, an American Express Travel Representative|56.4|Travel & Hospitality|95.0|1994.0|73|Coral Springs|FL
3928|KMS Technology|17.9|IT Services|700.0|2009.0|73|Atlanta|GA
3929|Oasis Turf & Tree|4.5|Environmental Services|40.0|1996.0|73|Loveland|OH
3930|Fiore Nursery & Landscape Supply|13.6|Business Products & Services|75.0|1916.0|73|prairie view|IL
3931|People's Care|50.1|Health|1025.0|1998.0|73|Chino Hills|CA
3932|ITEGRIA|2.5|IT Services|18.0|2007.0|73|Park Ridge|IL
3933|CDYNE|10.8|Software|97.0|1999.0|73|Chesapeake|VA
3934|Work Institute|4.5|Human Resources|15.0|2001.0|73|Franklin|TN
3935|Scepter Technologies|17.8|IT Services|195.0|2006.0|73|Columbia|MD
3936|Fingerpaint|29.8|Advertising & Marketing|150.0|2008.0|73|Saratoga Springs|NY
3937|SnapCab|17.4|Manufacturing|70.0|1996.0|73|Warrington|PA
3938|Atrium Staffing|238.7|Human Resources|194.0|1995.0|73|New York City|NY
3939|Vision33|33.1|Software|108.0|2003.0|73|Irvine|CA
3940|Caretaker Landscape and Tree Management|24.4|Construction|270.0|1988.0|73|Gilbert|AZ
3941|Koffler Sales|6.1|Construction|14.0|1945.0|73|Lake Zurich|IL
3942|Katom Restaurant Supply|100.4|Food & Beverage|117.0|1992.0|73|Kodak|TN
3943|Turner Duran Architects|2.5|Construction|12.0|1984.0|73|Houston|TX
3944|Ready Set Rocket|5.3|Advertising & Marketing|30.0|2009.0|73|New York City|NY
3945|Allied Instructional Services|4.7|Education|13.0|2010.0|73|Ashland|VA
